248,10,2
HTTP,SSL,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
70.37.129.34,80,10.0.2.15,2551,TCP,246653.000000,7629,24665.300000,82.000000,135960.000000,762,60,1102,40.542787,30930.092073,HTTP,0
70.37.129.34,80,10.0.2.15,2553,TCP,308554.000000,7335,30855.400000,64.000000,112262.000000,733,60,1514,32.409238,23772.176021,HTTP,0
70.37.129.34,80,10.0.2.15,2554,TCP,4096554.000000,6941,409655.400000,78.000000,3804739.000000,694,60,1514,2.441076,1694.350911,HTTP,0
65.54.95.39,80,192.168.3.131,56055,TCP,440429.000000,8507,44042.900000,1.000000,237592.000000,850,60,1514,22.705135,19315.258532,HTTP,0
65.54.95.39,80,192.168.3.131,56326,TCP,7838832.000000,6911,783883.200000,1.000000,3900451.000000,691,60,1514,1.275700,881.636448,HTTP,0
65.54.95.39,80,192.168.3.131,56056,TCP,12108426.000000,4780,1210842.600000,794.000000,6892852.000000,478,60,1514,0.825871,394.766421,HTTP,0
65.54.95.39,80,192.168.3.131,56059,TCP,1117123.000000,7232,111712.300000,2.000000,666943.000000,723,60,1514,8.951566,6473.772360,HTTP,0
65.54.95.39,80,192.168.3.131,56060,TCP,31673600.000000,6922,3167360.000000,1.000000,25298095.000000,692,60,1514,0.315720,218.541625,HTTP,0
96.17.8.49,80,10.0.2.15,2547,TCP,107953.000000,7364,10795.300000,63.000000,48450.000000,736,60,1514,92.632905,68214.871287,HTTP,0
72.14.213.101,80,192.168.3.131,55968,TCP,191062926.000000,1494,19106292.600000,768.000000,90984777.000000,149,60,356,0.052339,7.819413,HTTP,0
65.54.95.66,80,192.168.3.131,56057,TCP,12030009.000000,6520,1203000.900000,779.000000,8896933.000000,652,60,1514,0.831255,541.977982,HTTP,0
65.54.95.75,80,192.168.3.131,56064,TCP,147150.000000,10718,14715.000000,2.000000,105693.000000,1071,60,1514,67.957866,72837.240911,HTTP,0
65.54.95.68,80,192.168.3.131,56065,TCP,50150.000000,12238,5015.000000,1.000000,32743.000000,1223,60,1514,199.401795,244027.916251,HTTP,0
65.54.95.68,80,192.168.3.131,56068,TCP,2670594.000000,11060,267059.400000,752.000000,2207565.000000,1106,60,1514,3.744485,4141.400752,HTTP,0
65.54.95.68,80,192.168.3.131,56070,TCP,28455.000000,12238,2845.500000,1.000000,12244.000000,1223,60,1514,351.432086,430082.586540,HTTP,0
65.54.95.68,80,192.168.3.131,56331,TCP,43265.000000,12238,4326.500000,1.000000,26062.000000,1223,60,1514,231.133711,282861.435340,HTTP,0
65.54.95.68,80,192.168.3.131,56093,TCP,40800.000000,12238,4080.000000,1.000000,13660.000000,1223,60,1514,245.098039,299950.980392,HTTP,0
65.54.95.68,80,192.168.3.131,56110,TCP,39167.000000,12238,3916.700000,2.000000,20680.000000,1223,60,1514,255.316976,312456.915260,HTTP,0
65.54.95.68,80,192.168.3.131,56140,TCP,29335.000000,10790,2933.500000,1.000000,13267.000000,1079,60,1514,340.889722,367820.010227,HTTP,0
65.54.95.68,80,192.168.3.131,56368,TCP,32997.000000,10790,3299.700000,1.000000,17525.000000,1079,60,1514,303.057854,326999.424190,HTTP,0
65.54.95.68,80,192.168.3.131,56406,TCP,16032286.000000,6767,1603228.600000,1.000000,9907346.000000,676,60,1514,0.623741,422.085784,HTTP,0
65.54.95.68,80,192.168.3.131,56174,TCP,30048.000000,12238,3004.800000,2.000000,13474.000000,1223,60,1514,332.800852,407281.682641,HTTP,0
65.54.95.68,80,192.168.3.131,56428,TCP,36979.000000,12238,3697.900000,1.000000,12599.000000,1223,60,1514,270.423754,330944.590173,HTTP,0
65.54.95.68,80,192.168.3.131,56429,TCP,1591196.000000,10046,159119.600000,2.000000,1126842.000000,1004,60,1514,6.284581,6313.489979,HTTP,0
65.54.95.68,80,192.168.3.131,56433,TCP,28964.000000,12238,2896.400000,1.000000,12741.000000,1223,60,1514,345.256180,422524.513189,HTTP,0
65.54.95.68,80,192.168.3.131,56434,TCP,31992.000000,12238,3199.200000,1.000000,14522.000000,1223,60,1514,312.578145,382533.133283,HTTP,0
65.54.95.68,80,192.168.3.131,56233,TCP,28747.000000,10766,2874.700000,2.000000,13247.000000,1076,60,1514,347.862386,374508.644380,HTTP,0
65.54.95.68,80,192.168.3.131,56457,TCP,28956.000000,10778,2895.600000,1.000000,13223.000000,1077,60,1514,345.351568,372219.919878,HTTP,0
65.54.95.68,80,192.168.3.131,56476,TCP,32135.000000,12226,3213.500000,1.000000,15739.000000,1222,60,1514,311.187179,380457.445153,HTTP,0
65.54.95.68,80,192.168.3.131,56510,TCP,31636.000000,12238,3163.600000,1.000000,13690.000000,1223,60,1514,316.095587,386837.779745,HTTP,0
65.54.95.68,80,192.168.3.131,56511,TCP,31898.000000,12238,3189.800000,1.000000,15476.000000,1223,60,1514,313.499279,383660.417581,HTTP,0
65.54.95.75,80,192.168.3.131,56066,TCP,53482.000000,12238,5348.200000,3.000000,24247.000000,1223,60,1514,186.978797,228824.651285,HTTP,0
65.54.95.75,80,192.168.3.131,56067,TCP,545719.000000,10744,54571.900000,795.000000,191965.000000,1074,60,1514,18.324449,19687.788037,HTTP,0
65.54.95.75,80,192.168.3.131,56069,TCP,269640.000000,10650,26964.000000,1.000000,143173.000000,1065,60,1514,37.086486,39497.107254,HTTP,0
65.54.95.75,80,192.168.3.131,56073,TCP,2018062.000000,9576,201806.200000,774.000000,1387621.000000,957,60,1514,4.955249,4745.146581,HTTP,0
65.54.95.75,80,192.168.3.131,56139,TCP,28597.000000,10790,2859.700000,1.000000,12398.000000,1079,60,1514,349.687030,377312.305487,HTTP,0
65.54.95.75,80,192.168.3.131,56427,TCP,38032.000000,12238,3803.200000,1.000000,21283.000000,1223,60,1514,262.936475,321781.657552,HTTP,0
65.54.95.75,80,192.168.3.131,56435,TCP,62049.000000,10718,6204.900000,1.000000,33644.000000,1071,60,1514,161.162952,172734.451804,HTTP,0
65.54.95.75,80,192.168.3.131,56436,TCP,513061.000000,10005,51306.100000,800.000000,253258.000000,1000,60,1514,19.490860,19500.605191,HTTP,0
65.54.95.75,80,192.168.3.131,56438,TCP,341217.000000,10383,34121.700000,807.000000,133669.000000,1038,60,1514,29.306863,30429.316242,HTTP,0
65.54.95.75,80,192.168.3.131,56509,TCP,185461.000000,10784,18546.100000,1.000000,100247.000000,1078,60,1514,53.919692,58146.995864,HTTP,0
194.165.188.79,443,172.16.255.1,10627,TCP,11353579.000000,937,1135357.900000,13407.000000,10026660.000000,93,60,349,0.880780,82.529042,SSL,1
207.46.113.78,443,10.0.2.15,2542,TCP,542728.000000,5106,54272.800000,1733.000000,265139.000000,510,60,1379,18.425436,9408.027594,SSL,1
207.46.113.78,443,10.0.2.15,2544,TCP,280022.000000,5100,28002.200000,0.000000,75214.000000,510,60,1379,35.711480,18212.854704,SSL,1
204.14.234.85,443,192.168.3.131,57243,TCP,659959.000000,5251,65995.900000,467.000000,235575.000000,525,60,1514,15.152456,7956.554877,SSL,1
204.14.234.85,443,192.168.3.131,57244,TCP,16392507.000000,3825,1639250.700000,1.000000,15791418.000000,382,60,1514,0.610035,233.338317,SSL,1
204.14.234.85,443,192.168.3.131,57245,TCP,121306.000000,9446,12130.600000,1.000000,38672.000000,944,60,1514,82.436153,77869.190312,SSL,1
